request_id,backend,mode,ttft_s,ttfa_s,llm_time_s,tts_time_s,total_s,has_audio,has_image,narrate,response_chars
1784279751374,local,interactive,3.478,6.428,3.478,6.116,9.596,False,True,False,126
1784279763036,local,interactive,1.244,5.466,1.244,4.259,5.504,False,False,False,81
1784279770597,local,interactive,1.839,4.469,1.839,6.385,8.224,False,True,False,126
1784279780871,local,interactive,1.875,4.617,1.875,6.211,8.087,False,True,False,126
1784279791012,local,interactive,2.002,4.729,2.002,5.043,7.046,False,False,False,209
1784279800113,local,interactive,1.606,2.383,1.606,1.849,3.456,False,True,False,126
1784279805627,local,interactive,1.588,2.33,1.588,1.786,3.375,False,True,False,126
1784279811053,local,interactive,1.9,2.53,1.9,4.8,6.701,False,False,False,260
1784279819813,local,interactive,1.555,2.346,1.555,1.845,3.4,False,True,False,126
1784279825275,local,interactive,1.606,2.342,1.606,1.776,3.382,False,True,False,126
1784279830704,local,interactive,1.24,2.262,1.24,2.133,3.373,False,False,False,134
1784279836130,local,interactive,1.555,2.285,1.555,1.781,3.337,False,True,False,126
1784279841516,local,interactive,1.55,2.301,1.55,1.818,3.368,False,True,False,126
1784279846940,local,interactive,0.948,1.517,0.948,1.018,1.966,False,False,False,62
1784279850965,local,interactive,1.55,2.297,1.55,1.798,3.348,False,True,False,126
1784279856375,local,interactive,1.627,2.368,1.627,1.79,3.417,False,True,False,126
1784279861843,local,interactive,1.495,3.836,1.495,3.495,4.99,False,False,False,216
1784279868887,local,interactive,1.547,2.332,1.547,1.853,3.4,False,True,False,126
1784279874341,local,interactive,1.622,2.365,1.622,1.78,3.402,False,True,False,126
1784279879802,local,interactive,1.386,3.543,1.386,3.785,5.171,False,False,False,231
1784280030014,nim,interactive,0.979,2.114,1.358,1.589,2.947,False,True,False,77
1784280039459,nim,interactive,0.959,1.433,1.054,0.383,1.437,False,True,False,15
1784280042953,nim,interactive,0.926,3.092,2.09,3.125,5.216,False,True,False,235
1784280050224,nim,interactive,0.372,9.65,6.414,21.589,28.004,False,False,False,1022
1784280080278,nim,interactive,1.216,4.194,3.086,5.513,8.6,False,True,False,378
1784280090930,nim,interactive,1.088,3.868,2.533,3.654,6.188,False,True,False,252
1784280129053,nim,interactive,1.093,3.97,2.313,3.721,6.034,False,True,False,246
1784280137145,nim,interactive,0.929,3.406,2.31,3.27,5.58,False,True,False,227
1784280148878,nim,interactive,0.838,4.24,3.187,3.354,6.541,False,True,False,223
1784280157471,nim,interactive,1.892,4.38,3.435,2.855,6.291,False,True,False,193
1784280169147,nim,interactive,0.704,2.451,1.653,3.17,4.824,False,True,False,205
1784280176028,nim,interactive,0.699,2.47,1.238,1.903,3.142,False,True,False,125
